source_id,first_success_at,last_success_at,last_attempt_at,consecutive_failures,consecutive_throttled,expected_interval_h,staleness_h,gate_fail_rate_28d,attempts_28d,status
nyiso.interconnection.queue,2026-09-09T16:22:19Z,2026-09-09T16:22:19Z,2026-09-14T12:01:27Z,1,0,720,115.7,0.500,2,active
miso.mtep.approved,2026-09-09T11:20:46Z,2026-09-14T12:01:56Z,2026-09-14T12:01:56Z,0,0,720,0.0,0.000,4,active
miso.mtep.in-service,2026-09-09T11:21:01Z,2026-09-14T12:01:24Z,2026-09-14T12:01:24Z,0,0,720,0.0,0.000,4,active
miso.mtep.under-evaluation,2026-09-09T11:21:05Z,2026-09-14T12:01:22Z,2026-09-14T12:01:22Z,0,0,720,0.0,0.000,4,active
miso.schedule26.charges,2026-09-09T11:42:48Z,2026-09-14T12:01:27Z,2026-09-14T12:01:27Z,0,0,720,0.0,0.000,3,active
miso.schedule26a.mvp,2026-09-09T11:42:52Z,2026-09-14T12:01:22Z,2026-09-14T12:01:22Z,0,0,720,0.0,0.000,3,active
spp.interconnection.queue,2026-09-14T12:01:31Z,2026-09-14T12:01:31Z,2026-09-14T12:01:31Z,0,0,720,0.0,0.000,1,active
